fixture_id;id_time;time;formation;coach
1035529;33;Manchester United;4-2-3-1;E. ten Hag
1035510;33;Manchester United;4-2-2-2;E. ten Hag
1035510;34;Newcastle;4-3-3;E. Howe
1035546;51;Brighton;4-2-3-1;R. De Zerbi
1035546;33;Manchester United;4-2-2-2;E. ten Hag
1035043;34;Newcastle;4-3-3;E. Howe
1035043;66;Aston Villa;4-2-3-1;Unai Emery
1035052;50;Manchester City;4-2-3-1;Pep Guardiola
1035052;34;Newcastle;4-3-3;E. Howe
1035065;34;Newcastle;4-3-3;E. Howe
1035065;40;Liverpool;4-3-3;J. Klopp
1035082;34;Newcastle;4-3-3;E. Howe
1035082;55;Brentford;5-3-2;T. Frank
1035096;62;Sheffield Utd;3-4-2-1;P. Heckingbottom
1035096;34;Newcastle;4-3-3;E. Howe
1035102;34;Newcastle;4-3-3;E. Howe
1035102;44;Burnley;4-2-3-1;V. Kompany
1035115;48;West Ham;4-2-3-1;D. Moyes
1035115;34;Newcastle;4-3-3;E. Howe
1035123;34;Newcastle;4-3-3;E. Howe
1035123;52;Crystal Palace;4-3-3;R. Hodgson
1035143;34;Newcastle;4-3-3;E. Howe
1035143;42;Arsenal;4-3-3;Mikel Arteta
1035147;35;Bournemouth;4-2-3-1;Andoni Iraola
1035147;34;Newcastle;4-3-3;E. Howe
1035300;34;Newcastle;4-3-3;E. Howe
1035300;49;Chelsea;4-2-3-1;M. Pochettino
1035316;45;Everton;4-4-1-1;S. Dyche
1035316;34;Newcastle;4-3-3;E. Howe
1035341;34;Newcastle;4-3-3;E. Howe
1035341;36;Fulham;4-2-3-1;Marco Silva
1035348;1359;Luton;3-4-2-1;R. Edwards
1035348;34;Newcastle;4-3-3;E. Howe
1035362;34;Newcastle;4-3-3;E. Howe
1035362;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035367;40;Liverpool;4-3-3;J. Klopp
1035367;34;Newcastle;4-3-3;E. Howe
1035382;34;Newcastle;4-3-3;E. Howe
1035382;50;Manchester City;4-2-3-1;Pep Guardiola
1035402;34;Newcastle;4-3-3;E. Howe
1035402;1359;Luton;3-4-2-1;R. Edwards
1035039;35;Bournemouth;4-2-3-1;Andoni Iraola
1035039;48;West Ham;4-2-3-1;D. Moyes
1035050;40;Liverpool;4-3-3;J. Klopp
1035050;35;Bournemouth;4-2-3-1;Andoni Iraola
1035057;35;Bournemouth;4-2-3-1;Andoni Iraola
1035057;47;Tottenham;4-2-3-1;A. Postecoglou
1035068;55;Brentford;4-3-3;T. Frank
1035068;35;Bournemouth;4-2-3-1;Andoni Iraola
1035089;51;Brighton;4-2-3-1;R. De Zerbi
1035089;35;Bournemouth;4-2-3-1;Andoni Iraola
1035111;45;Everton;4-4-1-1;S. Dyche
1035111;35;Bournemouth;4-2-3-1;Andoni Iraola
1035117;35;Bournemouth;4-2-3-1;Andoni Iraola
1035117;39;Wolves;3-4-3;G. O'Neil
1035127;35;Bournemouth;4-2-3-1;Andoni Iraola
1035127;44;Burnley;4-3-3;V. Kompany
1035142;50;Manchester City;3-4-2-1;Pep Guardiola
1035142;35;Bournemouth;5-4-1;Andoni Iraola
1035304;35;Bournemouth;4-2-3-1;Andoni Iraola
1035304;66;Aston Villa;4-4-2;Unai Emery
1035322;52;Crystal Palace;4-2-3-1;R. Hodgson
1035322;35;Bournemouth;4-2-3-1;Andoni Iraola
1035350;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035350;35;Bournemouth;4-2-3-1;Andoni Iraola
1035354;35;Bournemouth;4-2-3-1;Andoni Iraola
1035354;36;Fulham;4-2-3-1;Marco Silva
1035374;35;Bournemouth;4-2-3-1;Andoni Iraola
1035374;40;Liverpool;4-3-3;J. Klopp
1035389;48;West Ham;4-3-2-1;D. Moyes
1035389;35;Bournemouth;4-2-3-1;Andoni Iraola
1035394;35;Bournemouth;4-2-3-1;Andoni Iraola
1035394;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035406;36;Fulham;4-2-3-1;Marco Silva
1035406;35;Bournemouth;4-2-3-1;Andoni Iraola
1035420;34;Newcastle;4-3-3;E. Howe
1035420;35;Bournemouth;4-2-3-1;Andoni Iraola
1035435;44;Burnley;4-4-2;V. Kompany
1035435;35;Bournemouth;4-2-3-1;Andoni Iraola
1035444;35;Bournemouth;4-2-3-1;Andoni Iraola
1035444;62;Sheffield Utd;3-5-2;C. Wilder
1035334;35;Bournemouth;4-2-3-1;Andoni Iraola
1035334;1359;Luton;3-4-2-1;R. Edwards
1035464;35;Bournemouth;4-2-3-1;Andoni Iraola
1035464;45;Everton;4-4-1-1;S. Dyche
1035474;35;Bournemouth;4-3-3;Andoni Iraola
1035474;52;Crystal Palace;3-4-3;O. Glasner
1035504;66;Aston Villa;4-2-3-1;Unai Emery
1035504;35;Bournemouth;4-2-3-1;Andoni Iraola
1035463;39;Wolves;4-1-4-1;G. O'Neil
1035463;35;Bournemouth;4-2-3-1;Andoni Iraola
1035514;35;Bournemouth;4-4-2;Andoni Iraola
1035514;51;Brighton;4-2-3-1;R. De Zerbi
1035524;42;Arsenal;4-3-3;Mikel Arteta
1035524;35;Bournemouth;4-3-3;Andoni Iraola
1035548;49;Chelsea;4-2-3-1;M. Pochettino
1035548;35;Bournemouth;4-2-3-1;Andoni Iraola
1035041;45;Everton;4-4-1-1;S. Dyche
1035041;36;Fulham;4-3-3;Marco Silva
1035049;36;Fulham;4-3-3;Marco Silva
1035049;55;Brentford;4-3-3;T. Frank
